,sub,harm,cs,node_num,dof_num,PoM,NL,KC
0,sub,1,c,0,0,p,1,0
1,sub,1,c,1,0,p,1,0
2,sub,1,c,2,0,p,1,0
3,sub,1,c,3,0,p,1,0
4,sub,1,c,4,0,p,1,0
5,sub,1,c,5,0,p,1,0
6,sub,1,c,6,0,p,1,0
7,sub,1,c,7,0,p,1,0
8,sub,1,c,8,0,p,1,0
9,sub,1,c,9,0,p,1,0
10,sub,1,c,10,0,p,1,0
11,sub,1,c,11,0,p,1,0
12,sub,1,c,12,0,p,1,0
13,sub,1,c,13,0,p,1,0
14,sub,1,c,14,0,p,1,0
15,sub,1,c,15,0,p,0,0
16,sub,1,c,16,0,p,0,0
17,sub,1,c,17,0,p,0,0
18,sub,1,c,18,0,p,0,0
19,sub,1,c,19,0,p,0,0
20,sub,1,c,20,0,p,0,0
21,sub,1,c,21,0,p,0,0
22,sub,1,c,22,0,p,0,0
23,sub,1,c,23,0,p,0,0
24,sub,1,c,24,0,p,0,0
25,sub,1,s,0,0,p,1,0
26,sub,1,s,1,0,p,1,0
27,sub,1,s,2,0,p,1,0
28,sub,1,s,3,0,p,1,0
29,sub,1,s,4,0,p,1,0
30,sub,1,s,5,0,p,1,0
31,sub,1,s,6,0,p,1,0
32,sub,1,s,7,0,p,1,0
33,sub,1,s,8,0,p,1,0
34,sub,1,s,9,0,p,1,0
35,sub,1,s,10,0,p,1,0
36,sub,1,s,11,0,p,1,0
37,sub,1,s,12,0,p,1,0
38,sub,1,s,13,0,p,1,0
39,sub,1,s,14,0,p,1,0
40,sub,1,s,15,0,p,0,0
41,sub,1,s,16,0,p,0,0
42,sub,1,s,17,0,p,0,0
43,sub,1,s,18,0,p,0,0
44,sub,1,s,19,0,p,0,0
45,sub,1,s,20,0,p,0,0
46,sub,1,s,21,0,p,0,0
47,sub,1,s,22,0,p,0,0
48,sub,1,s,23,0,p,0,0
49,sub,1,s,24,0,p,0,0
50,sub,3,c,0,0,p,1,0
51,sub,3,c,1,0,p,1,0
52,sub,3,c,2,0,p,1,0
53,sub,3,c,3,0,p,1,0
54,sub,3,c,4,0,p,1,0
55,sub,3,c,5,0,p,1,0
56,sub,3,c,6,0,p,1,0
57,sub,3,c,7,0,p,1,0
58,sub,3,c,8,0,p,1,0
59,sub,3,c,9,0,p,1,0
60,sub,3,c,10,0,p,1,0
61,sub,3,c,11,0,p,1,0
62,sub,3,c,12,0,p,1,0
63,sub,3,c,13,0,p,1,0
64,sub,3,c,14,0,p,1,0
65,sub,3,c,15,0,p,0,0
66,sub,3,c,16,0,p,0,0
67,sub,3,c,17,0,p,0,0
68,sub,3,c,18,0,p,0,0
69,sub,3,c,19,0,p,0,0
70,sub,3,c,20,0,p,0,0
71,sub,3,c,21,0,p,0,0
72,sub,3,c,22,0,p,0,0
73,sub,3,c,23,0,p,0,0
74,sub,3,c,24,0,p,0,0
75,sub,3,s,0,0,p,1,0
76,sub,3,s,1,0,p,1,0
77,sub,3,s,2,0,p,1,0
78,sub,3,s,3,0,p,1,0
79,sub,3,s,4,0,p,1,0
80,sub,3,s,5,0,p,1,0
81,sub,3,s,6,0,p,1,0
82,sub,3,s,7,0,p,1,0
83,sub,3,s,8,0,p,1,0
84,sub,3,s,9,0,p,1,0
85,sub,3,s,10,0,p,1,0
86,sub,3,s,11,0,p,1,0
87,sub,3,s,12,0,p,1,0
88,sub,3,s,13,0,p,1,0
89,sub,3,s,14,0,p,1,0
90,sub,3,s,15,0,p,0,0
91,sub,3,s,16,0,p,0,0
92,sub,3,s,17,0,p,0,0
93,sub,3,s,18,0,p,0,0
94,sub,3,s,19,0,p,0,0
95,sub,3,s,20,0,p,0,0
96,sub,3,s,21,0,p,0,0
97,sub,3,s,22,0,p,0,0
98,sub,3,s,23,0,p,0,0
99,sub,3,s,24,0,p,0,0
